pair,engagement by Utterance,engagement by Second,mean engagement by Utterance,mean engagement by Second,openness,conscientiousness,extraversion,agreeableness,neuroticism,openness difference,conscientiousness difference,extraversion difference,agreeableness difference,neuroticism difference
P057_P047,1.2280058574595403,1.1919363187075431,1.231832104119007,1.1825234965416769,0.08,0.4,0.38,0.5,0.8,-0.6900000000000001,0.0,-0.14,-0.35,0.30000000000000004
P057_P063,1.2020200888073358,1.1807597215610346,1.231832104119007,1.1825234965416769,0.08,0.4,0.38,0.5,0.8,,,,,
P057_P068,1.2654716740135556,1.2105692143809728,1.231832104119007,1.1825234965416769,0.08,0.4,0.38,0.5,0.8,0.08,-0.28,0.21,-0.5,0.10000000000000009
P063_P047,1.0995499109247926,1.0951576548171778,1.104372101471232,1.0259620630312576,,,,,,,,,,
P063_P057,1.068673444692503,1.0532119718070498,1.104372101471232,1.0259620630312576,,,,,,,,,,
P063_P068,1.0111860592105264,0.9962310661103979,1.104372101471232,1.0259620630312576,,,,,,,,,,
P068_P047,1.1509723180232563,1.1434988881446042,1.1543452057256918,1.1313864622364669,0.0,0.68,0.17,1.0,0.7,-0.77,0.28,-0.35,0.15000000000000002,0.19999999999999996
P068_P057,1.1071945881674814,1.1246623096378148,1.1543452057256918,1.1313864622364669,0.0,0.68,0.17,1.0,0.7,-0.08,0.28,-0.21,0.5,-0.10000000000000009
P068_P063,1.1280024606158254,1.1126285979137034,1.1543452057256918,1.1313864622364669,0.0,0.68,0.17,1.0,0.7,,,,,
P035_P043,1.0965000044377795,1.0890751590508105,1.1466915346952453,1.0970775197872111,0.35,0.36,0.76,0.25,0.7,0.19999999999999998,-0.12,-0.030000000000000027,-0.15000000000000002,0.06999999999999995
P035_P058,1.1147721201857588,1.0868575114210528,1.1466915346952453,1.0970775197872111,0.35,0.36,0.76,0.25,0.7,0.03999999999999998,0.03999999999999998,0.14,0.1,-0.13
P035_P074,1.0999800480912103,1.1086842854179568,1.1466915346952453,1.0970775197872111,0.35,0.36,0.76,0.25,0.7,-0.11000000000000004,-0.32000000000000006,0.0,-0.5,0.19999999999999996
P043_P035,0.9729522608331305,1.0110734430432906,1.0446541533596763,0.9061513319856397,0.15,0.48,0.79,0.4,0.63,-0.19999999999999998,0.12,0.030000000000000027,0.15000000000000002,-0.06999999999999995
P043_P058,1.1792931091083783,1.1798622976179338,1.0446541533596763,0.9061513319856397,0.15,0.48,0.79,0.4,0.63,-0.16,0.15999999999999998,0.17000000000000004,0.25,-0.19999999999999996
P043_P074,0.8406024695060569,0.8698608945854834,1.0446541533596763,0.9061513319856397,0.15,0.48,0.79,0.4,0.63,-0.31000000000000005,-0.20000000000000007,0.030000000000000027,-0.35,0.13
